"","Latitude","Longitude","Class","B1","B2","B3","B4","B5","B6"
"1433",35.4763132649709,-82.5546522832083,"3",63,118,450,195,3645,1406
"1434",35.5004297974031,-82.5784433193219,"3",173,210,523,297,2980,1284
"1435",35.5682168074825,-82.5148919214843,"3",163,219,485,311,3059,1294
"1436",35.4978226047077,-82.3447697180421,"3",141,191,521,369,3035,1865
"1437",35.6783706988616,-82.7270558188805,"3",226,304,783,601,3477,1698
"1438",35.6245973495197,-82.3229341095543,"3",129,189,572,294,3335,1412
"1439",35.5235686325744,-82.7104346840615,"3",170,207,507,276,3533,1521
"1440",35.4828312467094,-82.3040316425052,"3",90,129,521,226,3346,1400
"1441",35.5372563942251,-82.5324907701162,"3",254,306,574,434,2811,1396
"1442",35.7262778646389,-82.459488138754,"3",64,110,428,195,2747,1083
"1443",35.6053693033914,-82.6045156876655,"3",266,330,760,604,3398,1868
"1444",35.6340484230404,-82.3548727607752,"3",119,156,433,237,3089,1348
"1445",35.6021103125222,-82.5601926614813,"3",357,419,678,566,2669,1610
"1446",35.5760383855686,-82.6162482534201,"3",140,191,439,241,3285,1310
"1447",35.6676160289932,-82.8427519534054,"3",79,203,650,431,3584,1982
"1448",35.6549059646034,-82.8365597659238,"3",241,309,728,548,3924,2369
"1449",35.5942887344361,-82.5142401122757,"3",106,142,413,240,2944,1217
"1450",35.5874448536108,-82.6390615757208,"3",297,337,629,390,3359,1786
"1451",35.5085772745761,-82.6067970198956,"3",50,139,461,243,3700,1454
"1452",35.5118362654453,-82.717604585356,"3",307,379,805,591,4167,2312
"1453",35.5098808709238,-82.8694761309576,"3",188,225,552,286,5299,1626
"1454",35.5408412841812,-82.7987548318255,"3",270,370,681,657,2590,2038
"1455",35.5926592390015,-82.4920785991836,"3",182,214,537,331,3727,1551
"1456",35.5978736243923,-82.3597613298397,"3",342,421,723,752,2266,1800
"1457",35.5281312197913,-82.8280862462121,"3",340,431,806,705,3340,2116
"1458",35.6969469468161,-82.5305353424904,"3",125,263,775,606,4223,1877
"1459",35.6995541395114,-82.5764878916961,"3",291,325,670,553,3079,1954
"1460",35.6369815148227,-82.671326131546,"3",383,486,933,898,3117,2366
"1461",35.5920074408277,-82.462747184797,"3",202,264,629,463,3295,2161
"1462",35.6350261203012,-82.4764351781774,"3",98,156,501,246,4870,1486
"1463",35.5630024220918,-82.6393874803251,"3",341,409,759,654,3203,2164
"1464",35.5799491746116,-82.637106148095,"3",642,811,1244,1221,3560,2824
"1465",35.6089541933476,-82.6019084508311,"3",115,144,403,191,2887,1132
"1466",35.5610470275703,-82.6804514604663,"3",339,412,751,674,3142,2533
"1467",35.6770671025139,-82.7576908516843,"3",333,428,819,747,3152,2106
"1468",35.5525736513103,-82.6361284342821,"3",196,233,567,896,3571,2274
"1469",35.5590916330487,-82.6703484177332,"3",283,357,691,704,2972,2034
"1470",35.5519218531365,-82.7127160162916,"3",368,542,960,953,3076,2276
"1471",35.4707729804933,-82.531187151699,"3",307,408,718,596,3093,1922
"1472",35.6461066892565,-82.5129364938585,"3",316,412,725,563,3185,1702
"1473",35.5343233024428,-82.5282540102604,"3",320,366,605,492,2326,1465
"1474",35.6268786431282,-82.299468978045,"3",118,155,501,245,2842,1286
"1475",35.7324699472904,-82.5732288456531,"3",193,238,589,384,3506,1791
"1476",35.5613729266572,-82.5295576286776,"3",154,184,483,247,3175,1278
"1477",35.5678909083956,-82.5836577929906,"3",186,224,473,276,3400,1471
"1478",35.5467074677458,-82.7378106708223,"3",237,329,809,768,3594,2250
"1479",35.4785945585794,-82.5116328754413,"3",122,178,444,239,2899,1116
"1480",35.6852145796869,-82.6142928257944,"3",215,237,648,369,3576,1651
"1481",35.5669132111348,-82.640365194138,"3",117,143,460,188,3771,1400
"1482",35.5401894860074,-82.8251531047735,"3",226,290,681,476,3367,1915
"1483",35.6105836887822,-82.5614962798985,"3",154,183,489,241,3425,1279
"1484",35.6102577896952,-82.4966412636437,"3",183,244,578,436,3141,1826
"1485",35.6063470006522,-82.3447697180421,"3",181,269,723,618,3075,1537
"1486",35.4896751275347,-82.7446546675125,"3",236,311,728,498,4156,2140
"1487",35.606998798826,-82.4425410993307,"3",226,290,714,514,3873,1976
"1488",35.513139861793,-82.4458001453736,"3",156,229,514,364,2778,1412
"1489",35.6131908814775,-82.451666428251,"3",195,218,542,327,2654,1290
"1490",35.5594175321357,-82.7886517890924,"3",104,148,503,241,3081,1306
"1491",35.7256260664651,-82.6045156876655,"3",152,187,454,268,2391,1237
"1492",35.4753355677102,-82.6397133849294,"3",145,180,444,239,2908,1286
"1493",35.5845117618285,-82.5308612470947,"3",165,220,613,397,3847,2017
"1494",35.480224054014,-82.3499841917108,"3",136,151,512,248,3367,1513
"1495",35.4988003019685,-82.8228717725434,"3",77,130,495,219,3784,1682
"1496",35.4779427604056,-82.5269503918432,"3",156,185,456,267,2836,1230
"1497",35.6343743221274,-82.6012566416225,"3",213,277,557,325,3443,1529
"1498",35.6040657070438,-82.4184241586128,"3",115,144,439,201,3153,1275
"1499",35.5229168344006,-82.5191286813401,"3",164,204,495,286,3343,1386
"1500",35.6392628084312,-82.3118533530082,"3",-215,-110,367,157,3683,1758
"1501",35.6040657070438,-82.5285799148647,"3",413,489,751,713,2615,1660
"1502",35.6268786431282,-82.557585424647,"3",265,311,547,397,2780,1357
"1503",35.6262268449544,-82.7101087794572,"3",686,842,1080,1147,2174,2476
"1504",35.7041167267283,-82.5641035167329,"3",133,240,451,417,2339,1450
"1505",35.5450779723112,-82.7303148649235,"3",255,370,746,688,3112,1923
"1506",35.5480110640934,-82.5331425793248,"3",348,428,739,612,2751,2016
"1507",35.6288340376497,-82.5513932371653,"3",85,152,461,295,2698,1319
"1508",35.5981995234792,-82.5324907701162,"3",232,338,710,618,2855,1795
"1509",35.5427966787027,-82.6967466906811,"3",248,336,729,670,3562,2366
"1510",35.6060211015653,-82.3565022837967,"3",321,443,779,900,1879,1790
"1511",35.553877247658,-82.6970725952854,"3",603,656,887,917,1967,1751
"1512",35.5284571188782,-82.6837105065093,"3",79,221,625,440,3560,1938
"1513",35.5594175321357,-82.5106551616284,"3",379,451,731,649,2901,1697
"1514",35.5571362385272,-82.5249949642174,"3",274,336,663,580,2983,1812
"1515",35.6265527440413,-82.5660589443586,"3",329,373,618,496,2665,1554
"1516",35.4906528247954,-82.4871900301192,"3",386,418,724,654,3374,1811
